"","home_team","away_team","posteam","posteam_type","defteam","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","qtr","down","ydstogo","play_type","yards_gained","pass_length","posteam_timeouts_remaining","defteam_timeouts_remaining","score_differential_post","rush_attempt","pass_attempt"
"1","PHI","GB","GB","away","PHI",78,894,1794,3594,"Half1",1,1,10,"pass",0,"deep",3,3,0,0,1
"2","PHI","GB","GB","away","PHI",78,890,1790,3590,"Half1",1,2,10,"pass",0,"short",3,3,0,0,1
"3","PHI","GB","GB","away","PHI",73,887,1787,3587,"Half1",1,3,5,"pass",0,"short",3,3,0,0,1
"4","PHI","GB","GB","away","PHI",69,744,1644,3444,"Half1",1,1,5,"pass",7,"short",3,3,0,0,1
"5","PHI","GB","GB","away","PHI",62,707,1607,3407,"Half1",1,1,10,"run",2,NA,3,3,0,1,0
"6","PHI","GB","GB","away","PHI",60,681,1581,3381,"Half1",1,2,8,"run",3,NA,3,3,0,1,0
"7","PHI","GB","GB","away","PHI",57,635,1535,3335,"Half1",1,3,5,"pass",7,"short",3,3,0,0,1
"8","PHI","GB","GB","away","PHI",50,595,1495,3295,"Half1",1,1,10,"pass",4,"short",3,3,0,0,1
"9","PHI","GB","GB","away","PHI",46,551,1451,3251,"Half1",1,2,6,"pass",-9,NA,3,3,0,0,1
"10","PHI","GB","GB","away","PHI",55,513,1413,3213,"Half1",1,3,15,"pass",0,"deep",3,3,0,0,1
"11","PHI","GB","GB","away","PHI",74,258,1158,2958,"Half1",1,1,10,"run",-2,NA,3,3,-3,1,0
"12","PHI","GB","GB","away","PHI",66,217,1117,2917,"Half1",1,1,10,"pass",15,"short",3,3,-3,0,1
"13","PHI","GB","GB","away","PHI",51,191,1091,2891,"Half1",1,1,10,"pass",14,"short",3,3,-3,0,1
"14","PHI","GB","GB","away","PHI",37,154,1054,2854,"Half1",1,1,10,"pass",6,"short",3,3,-3,0,1
"15","PHI","GB","GB","away","PHI",31,111,1011,2811,"Half1",1,2,4,"run",2,NA,3,3,-3,1,0
"16","PHI","GB","GB","away","PHI",29,69,969,2769,"Half1",1,3,2,"run",5,NA,3,3,-3,1,0
"17","PHI","GB","GB","away","PHI",24,35,935,2735,"Half1",1,1,10,"pass",-5,NA,2,3,-3,0,1
"18","PHI","GB","GB","away","PHI",29,900,900,2700,"Half1",2,2,15,"pass",-7,NA,2,3,-3,0,1
"19","PHI","GB","GB","away","PHI",36,865,865,2665,"Half1",2,3,22,"run",5,NA,2,3,-3,1,0
"20","PHI","GB","GB","away","PHI",77,647,647,2447,"Half1",2,1,10,"run",1,NA,2,3,0,1,0
"21","PHI","GB","GB","away","PHI",76,601,601,2401,"Half1",2,2,9,"pass",7,"short",2,3,0,0,1
"22","PHI","GB","GB","away","PHI",69,572,572,2372,"Half1",2,3,2,"pass",-1,"short",2,3,0,0,1
"23","PHI","GB","GB","away","PHI",76,441,441,2241,"Half1",2,1,10,"run",13,NA,2,3,0,1,0
"24","PHI","GB","GB","away","PHI",63,403,403,2203,"Half1",2,1,10,"run",8,NA,2,3,0,1,0
"25","PHI","GB","GB","away","PHI",55,367,367,2167,"Half1",2,2,2,"run",18,NA,2,3,0,1,0
"26","PHI","GB","GB","away","PHI",47,303,303,2103,"Half1",2,1,20,"pass",8,"short",2,3,0,0,1
"27","PHI","GB","GB","away","PHI",39,264,264,2064,"Half1",2,2,12,"run",3,NA,2,3,0,1,0
"28","PHI","GB","GB","away","PHI",36,221,221,2021,"Half1",2,3,9,"pass",16,"deep",2,3,0,0,1
"29","PHI","GB","GB","away","PHI",20,175,175,1975,"Half1",2,1,10,"run",0,NA,2,3,0,1,0
"30","PHI","GB","GB","away","PHI",20,130,130,1930,"Half1",2,2,10,"pass",13,"short",2,3,0,0,1
"31","PHI","GB","GB","away","PHI",7,119,119,1919,"Half1",2,1,7,"run",1,NA,2,3,0,1,0
"32","PHI","GB","GB","away","PHI",6,115,115,1915,"Half1",2,2,6,"pass",0,"short",2,2,0,0,1
"33","PHI","GB","GB","away","PHI",6,112,112,1912,"Half1",2,3,6,"pass",6,"short",2,2,6,0,1
"34","PHI","GB","GB","away","PHI",77,41,41,1841,"Half1",2,1,10,"pass",11,"short",1,2,7,0,1
"35","PHI","GB","GB","away","PHI",61,37,37,1837,"Half1",2,1,5,"pass",6,"short",0,2,7,0,1
"36","PHI","GB","GB","away","PHI",55,30,30,1830,"Half1",2,1,10,"run",7,NA,0,2,7,1,0
"37","PHI","GB","GB","away","PHI",48,23,23,1823,"Half1",2,2,3,"pass",3,"short",0,2,7,0,1
"38","PHI","GB","GB","away","PHI",45,21,21,1821,"Half1",2,1,10,"pass",7,"short",0,2,7,0,1
"39","PHI","GB","GB","away","PHI",38,9,9,1809,"Half1",2,2,3,"qb_spike",0,NA,0,2,7,0,1
"40","PHI","GB","GB","away","PHI",62,809,1709,1709,"Half2",3,1,10,"run",7,NA,3,3,10,1,0
"41","PHI","GB","GB","away","PHI",55,781,1681,1681,"Half2",3,2,3,"pass",0,"deep",3,3,10,0,1
"42","PHI","GB","GB","away","PHI",55,774,1674,1674,"Half2",3,3,3,"pass",7,"short",3,3,10,0,1
"43","PHI","GB","GB","away","PHI",48,735,1635,1635,"Half2",3,1,10,"run",1,NA,3,3,10,1,0
"44","PHI","GB","GB","away","PHI",47,694,1594,1594,"Half2",3,2,9,"pass",0,"short",3,3,10,0,1
"45","PHI","GB","GB","away","PHI",47,689,1589,1589,"Half2",3,3,9,"pass",20,"deep",3,3,10,0,1
"46","PHI","GB","GB","away","PHI",27,648,1548,1548,"Half2",3,1,10,"run",1,NA,3,3,10,1,0
"47","PHI","GB","GB","away","PHI",26,608,1508,1508,"Half2",3,2,9,"run",12,NA,3,3,10,1,0
"48","PHI","GB","GB","away","PHI",14,559,1459,1459,"Half2",3,1,10,"run",11,NA,3,3,10,1,0
"49","PHI","GB","GB","away","PHI",3,520,1420,1420,"Half2",3,1,3,"run",3,NA,3,3,16,1,0
"50","PHI","GB","GB","away","PHI",51,256,1156,1156,"Half2",3,1,10,"run",2,NA,3,3,10,1,0
"51","PHI","GB","GB","away","PHI",49,213,1113,1113,"Half2",3,2,8,"run",18,NA,3,3,10,1,0
"52","PHI","GB","GB","away","PHI",31,165,1065,1065,"Half2",3,1,10,"run",-1,NA,3,3,10,1,0
"53","PHI","GB","GB","away","PHI",32,123,1023,1023,"Half2",3,2,11,"pass",32,"deep",3,3,16,0,1
"54","PHI","GB","GB","away","PHI",62,26,926,926,"Half2",3,1,10,"run",3,NA,3,3,17,1,0
"55","PHI","GB","GB","away","PHI",59,900,900,900,"Half2",4,2,7,"run",2,NA,3,3,17,1,0
"56","PHI","GB","GB","away","PHI",57,856,856,856,"Half2",4,3,5,"pass",0,"short",3,3,17,0,1
"57","PHI","GB","GB","away","PHI",60,615,615,615,"Half2",4,1,10,"pass",0,"deep",3,3,10,0,1
"58","PHI","GB","GB","away","PHI",60,610,610,610,"Half2",4,2,10,"run",-3,NA,3,3,10,1,0
"59","PHI","GB","GB","away","PHI",63,565,565,565,"Half2",4,3,13,"pass",0,"deep",3,3,10,0,1
"60","PHI","GB","GB","away","PHI",64,337,337,337,"Half2",4,1,10,"run",4,NA,3,3,7,1,0
"61","PHI","GB","GB","away","PHI",60,325,325,325,"Half2",4,2,6,"run",6,NA,3,2,7,1,0
"62","PHI","GB","GB","away","PHI",54,317,317,317,"Half2",4,1,10,"run",3,NA,3,1,7,1,0
"63","PHI","GB","GB","away","PHI",51,311,311,311,"Half2",4,2,7,"run",0,NA,3,0,7,1,0
"64","PHI","GB","GB","away","PHI",51,267,267,267,"Half2",4,3,7,"pass",0,"short",3,0,7,0,1
"65","GB","BUF","GB","home","BUF",66,895,1795,3595,"Half1",1,1,10,"pass",13,"short",3,3,0,0,1
"66","GB","BUF","GB","home","BUF",53,866,1766,3566,"Half1",1,1,10,"run",6,NA,3,3,0,1,0
"67","GB","BUF","GB","home","BUF",47,829,1729,3529,"Half1",1,2,4,"run",3,NA,3,3,0,1,0
"68","GB","BUF","GB","home","BUF",44,790,1690,3490,"Half1",1,3,1,"pass",11,"short",3,3,0,0,1
"69","GB","BUF","GB","home","BUF",33,765,1665,3465,"Half1",1,1,10,"run",2,NA,3,3,0,1,0
"70","GB","BUF","GB","home","BUF",26,722,1622,3422,"Half1",1,2,3,"pass",0,"short",3,3,0,0,1
"71","GB","BUF","GB","home","BUF",26,718,1618,3418,"Half1",1,3,3,"pass",0,"deep",2,3,0,0,1
"72","GB","BUF","GB","home","BUF",49,573,1473,3273,"Half1",1,1,10,"pass",7,"short",2,3,3,0,1
"73","GB","BUF","GB","home","BUF",42,545,1445,3245,"Half1",1,2,3,"pass",34,"short",2,3,3,0,1
"74","GB","BUF","GB","home","BUF",8,508,1408,3208,"Half1",1,1,8,"run",2,NA,2,3,3,1,0
"75","GB","BUF","GB","home","BUF",6,468,1368,3168,"Half1",1,2,6,"pass",0,"short",2,3,3,0,1
"76","GB","BUF","GB","home","BUF",6,465,1365,3165,"Half1",1,3,6,"pass",0,"short",2,3,3,0,1
"77","GB","BUF","GB","home","BUF",72,362,1262,3062,"Half1",1,1,10,"run",1,NA,2,3,6,1,0
"78","GB","BUF","GB","home","BUF",71,325,1225,3025,"Half1",1,2,9,"pass",11,"short",2,3,6,0,1
"79","GB","BUF","GB","home","BUF",60,284,1184,2984,"Half1",1,1,10,"run",4,NA,2,3,6,1,0
"80","GB","BUF","GB","home","BUF",56,246,1146,2946,"Half1",1,2,6,"run",4,NA,2,3,6,1,0
"81","GB","BUF","GB","home","BUF",52,202,1102,2902,"Half1",1,3,2,"pass",32,"deep",2,3,6,0,1
"82","GB","BUF","GB","home","BUF",20,155,1055,2855,"Half1",1,1,10,"pass",0,"short",2,3,6,0,1
"83","GB","BUF","GB","home","BUF",20,151,1051,2851,"Half1",1,2,10,"pass",0,"deep",1,3,6,0,1
"84","GB","BUF","GB","home","BUF",20,144,1044,2844,"Half1",1,3,10,"run",12,NA,1,3,6,1,0
"85","GB","BUF","GB","home","BUF",8,102,1002,2802,"Half1",1,1,8,"run",3,NA,1,3,6,1,0
"86","GB","BUF","GB","home","BUF",5,57,957,2757,"Half1",1,2,5,"pass",4,"short",1,3,6,0,1
"87","GB","BUF","GB","home","BUF",1,16,916,2716,"Half1",1,3,1,"run",1,NA,1,3,12,1,0
"88","GB","BUF","GB","home","BUF",60,641,641,2441,"Half1",2,1,10,"pass",-2,"short",1,2,6,0,1
"89","GB","BUF","GB","home","BUF",62,599,599,2399,"Half1",2,2,12,"run",2,NA,1,2,6,1,0
"90","GB","BUF","GB","home","BUF",65,542,542,2342,"Half1",2,3,15,"pass",0,"deep",1,2,6,0,1
"91","GB","BUF","GB","home","BUF",84,359,359,2159,"Half1",2,1,10,"run",4,NA,1,2,6,1,0
"92","GB","BUF","GB","home","BUF",80,319,319,2119,"Half1",2,2,6,"run",4,NA,1,2,6,1,0
"93","GB","BUF","GB","home","BUF",76,273,273,2073,"Half1",2,3,2,"pass",0,"short",1,2,6,0,1
"94","GB","BUF","GB","home","BUF",80,21,21,1821,"Half1",2,1,10,"run",3,NA,1,1,6,1,0
"95","GB","BUF","GB","home","BUF",39,769,1669,1669,"Half2",3,1,10,"run",1,NA,3,3,6,1,0
"96","GB","BUF","GB","home","BUF",38,725,1625,1625,"Half2",3,2,9,"run",2,NA,3,3,6,1,0
"97","GB","BUF","GB","home","BUF",36,682,1582,1582,"Half2",3,3,7,"pass",17,"deep",3,3,6,0,1
"98","GB","BUF","GB","home","BUF",19,641,1541,1541,"Half2",3,1,10,"pass",11,"short",3,3,6,0,1
"99","GB","BUF","GB","home","BUF",8,601,1501,1501,"Half2",3,1,8,"run",2,NA,3,3,6,1,0
"100","GB","BUF","GB","home","BUF",6,559,1459,1459,"Half2",3,2,6,"pass",-1,"short",3,3,6,0,1
"101","GB","BUF","GB","home","BUF",7,517,1417,1417,"Half2",3,3,7,"pass",7,"short",3,3,12,0,1
"102","GB","BUF","GB","home","BUF",64,380,1280,1280,"Half2",3,1,10,"run",7,NA,3,2,13,1,0
"103","GB","BUF","GB","home","BUF",57,340,1240,1240,"Half2",3,2,3,"pass",15,"short",3,2,13,0,1
"104","GB","BUF","GB","home","BUF",42,306,1206,1206,"Half2",3,1,10,"pass",22,"short",3,2,13,0,1
"105","GB","BUF","GB","home","BUF",20,262,1162,1162,"Half2",3,1,10,"run",3,NA,3,2,13,1,0
"106","GB","BUF","GB","home","BUF",17,217,1117,1117,"Half2",3,2,7,"pass",10,"short",3,2,13,0,1
"107","GB","BUF","GB","home","BUF",7,171,1071,1071,"Half2",3,1,7,"pass",-2,"short",3,2,13,0,1
"108","GB","BUF","GB","home","BUF",9,123,1023,1023,"Half2",3,2,9,"run",9,NA,3,2,19,1,0
"109","GB","BUF","GB","home","BUF",52,853,853,853,"Half2",4,1,10,"run",0,NA,3,2,20,1,0
"110","GB","BUF","GB","home","BUF",57,795,795,795,"Half2",4,2,15,"pass",0,"short",3,2,20,0,1
"111","GB","BUF","GB","home","BUF",57,790,790,790,"Half2",4,3,15,"pass",15,"short",3,2,20,0,1
"112","GB","BUF","GB","home","BUF",42,744,744,744,"Half2",4,1,10,"run",12,NA,3,2,20,1,0
"113","GB","BUF","GB","home","BUF",30,742,742,742,"Half2",4,1,10,"pass",30,"deep",3,2,26,0,1
"114","GB","BUF","GB","home","BUF",61,587,587,587,"Half2",4,1,10,"run",2,NA,3,2,27,1,0
"115","GB","BUF","GB","home","BUF",64,530,530,530,"Half2",4,2,13,"pass",21,"short",3,2,27,0,1
"116","GB","BUF","GB","home","BUF",43,488,488,488,"Half2",4,1,10,"run",3,NA,3,2,27,1,0
"117","GB","BUF","GB","home","BUF",40,445,445,445,"Half2",4,2,7,"run",1,NA,3,2,27,1,0
"118","GB","BUF","GB","home","BUF",39,445,445,445,"Half2",4,3,6,"pass",0,"short",3,2,27,0,1
"119","CHI","GB","GB","away","CHI",60,502,1402,3202,"Half1",1,1,10,"run",4,NA,3,3,0,1,0
"120","CHI","GB","GB","away","CHI",56,465,1365,3165,"Half1",1,2,6,"pass",11,"short",3,3,0,0,1
"121","CHI","GB","GB","away","CHI",45,426,1326,3126,"Half1",1,1,10,"pass",26,"deep",3,3,0,0,1
"122","CHI","GB","GB","away","CHI",19,380,1280,3080,"Half1",1,1,10,"run",-1,NA,3,3,0,1,0
"123","CHI","GB","GB","away","CHI",25,318,1218,3018,"Half1",1,2,16,"pass",18,"short",3,3,0,0,1
"124","CHI","GB","GB","away","CHI",7,271,1171,2971,"Half1",1,1,7,"pass",7,"short",2,3,6,0,1
"125","CHI","GB","GB","away","CHI",90,117,1017,2817,"Half1",1,1,10,"pass",0,"deep",2,3,9,0,1
"126","CHI","GB","GB","away","CHI",90,110,1010,2810,"Half1",1,2,10,"run",-2,NA,2,3,9,1,0
"127","CHI","GB","GB","away","CHI",92,64,964,2764,"Half1",1,3,12,"pass",8,"short",2,3,9,0,1
"128","CHI","GB","GB","away","CHI",93,748,748,2548,"Half1",2,1,10,"run",1,NA,2,3,9,1,0
"129","CHI","GB","GB","away","CHI",92,706,706,2506,"Half1",2,2,9,"pass",28,"deep",2,3,9,0,1
"130","CHI","GB","GB","away","CHI",64,665,665,2465,"Half1",2,1,10,"pass",0,"short",2,3,9,0,1
"131","CHI","GB","GB","away","CHI",64,658,658,2458,"Half1",2,2,10,"pass",6,"short",2,3,9,0,1
"132","CHI","GB","GB","away","CHI",58,616,616,2416,"Half1",2,3,4,"pass",10,"short",2,3,9,0,1
"133","CHI","GB","GB","away","CHI",48,580,580,2380,"Half1",2,1,10,"run",7,NA,2,3,9,1,0
"134","CHI","GB","GB","away","CHI",41,537,537,2337,"Half1",2,2,3,"pass",7,"short",2,3,9,0,1
"135","CHI","GB","GB","away","CHI",34,495,495,2295,"Half1",2,1,10,"run",-3,NA,2,3,9,1,0
"136","CHI","GB","GB","away","CHI",37,452,452,2252,"Half1",2,2,13,"pass",7,"short",2,3,9,0,1
"137","CHI","GB","GB","away","CHI",30,404,404,2204,"Half1",2,3,6,"pass",10,"short",2,3,9,0,1
"138","CHI","GB","GB","away","CHI",30,332,332,2132,"Half1",2,1,20,"pass",0,"short",2,3,9,0,1
"139","CHI","GB","GB","away","CHI",30,327,327,2127,"Half1",2,2,20,"pass",0,"deep",2,3,9,0,1
"140","CHI","GB","GB","away","CHI",30,322,322,2122,"Half1",2,3,20,"pass",10,"short",2,3,9,0,1
"141","CHI","GB","GB","away","CHI",82,222,222,2022,"Half1",2,1,10,"pass",0,"deep",2,3,12,0,1
"142","CHI","GB","GB","away","CHI",82,212,212,2012,"Half1",2,2,10,"pass",10,"short",2,3,12,0,1
"143","CHI","GB","GB","away","CHI",72,171,171,1971,"Half1",2,1,10,"run",2,NA,2,3,12,1,0
"144","CHI","GB","GB","away","CHI",70,130,130,1930,"Half1",2,2,8,"pass",0,"short",2,3,12,0,1
"145","CHI","GB","GB","away","CHI",70,127,127,1927,"Half1",2,3,8,"pass",7,"short",1,3,12,0,1
"146","CHI","GB","GB","away","CHI",58,18,18,1818,"Half1",2,1,10,"pass",0,"short",1,2,5,0,1
"147","CHI","GB","GB","away","CHI",58,8,8,1808,"Half1",2,2,10,"pass",7,"short",1,2,5,0,1
"148","CHI","GB","GB","away","CHI",51,4,4,1804,"Half1",2,3,3,"pass",0,"deep",0,2,5,0,1
"149","CHI","GB","GB","away","CHI",85,868,1768,1768,"Half2",3,1,15,"pass",8,"short",3,3,5,0,1
"150","CHI","GB","GB","away","CHI",77,828,1728,1728,"Half2",3,2,7,"pass",20,"deep",3,3,5,0,1
"151","CHI","GB","GB","away","CHI",57,797,1697,1697,"Half2",3,1,10,"run",11,NA,3,3,5,1,0
"152","CHI","GB","GB","away","CHI",46,760,1660,1660,"Half2",3,1,10,"pass",6,"short",3,3,5,0,1
"153","CHI","GB","GB","away","CHI",40,718,1618,1618,"Half2",3,2,4,"run",2,NA,3,3,5,1,0
"154","CHI","GB","GB","away","CHI",38,681,1581,1581,"Half2",3,3,2,"pass",8,"short",3,3,5,0,1
"155","CHI","GB","GB","away","CHI",30,639,1539,1539,"Half2",3,1,10,"pass",7,"short",3,3,5,0,1
"156","CHI","GB","GB","away","CHI",23,604,1504,1504,"Half2",3,2,3,"pass",7,"short",3,3,5,0,1
"157","CHI","GB","GB","away","CHI",26,526,1426,1426,"Half2",3,1,20,"pass",7,"short",3,3,5,0,1
"158","CHI","GB","GB","away","CHI",19,486,1386,1386,"Half2",3,2,13,"pass",4,"short",3,3,5,0,1
"159","CHI","GB","GB","away","CHI",25,438,1338,1338,"Half2",3,3,19,"pass",6,"short",3,3,5,0,1
"160","CHI","GB","GB","away","CHI",99,110,1010,1010,"Half2",3,1,10,"pass",6,"short",3,2,5,0,1
"161","CHI","GB","GB","away","CHI",93,71,971,971,"Half2",3,2,4,"pass",3,"short",3,2,5,0,1
"162","CHI","GB","GB","away","CHI",95,900,900,900,"Half2",4,3,6,"pass",0,"deep",3,2,5,0,1
"163","CHI","GB","GB","away","CHI",72,873,873,873,"Half2",4,1,10,"run",3,NA,3,2,-1,1,0
"164","CHI","GB","GB","away","CHI",74,814,814,814,"Half2",4,2,12,"pass",14,"short",3,2,-1,0,1
"165","CHI","GB","GB","away","CHI",60,776,776,776,"Half2",4,1,10,"pass",11,"short",3,2,-1,0,1
"166","CHI","GB","GB","away","CHI",49,737,737,737,"Half2",4,1,10,"pass",8,"short",3,2,-1,0,1
"167","CHI","GB","GB","away","CHI",41,696,696,696,"Half2",4,2,2,"pass",6,"short",3,2,-1,0,1
"168","CHI","GB","GB","away","CHI",35,650,650,650,"Half2",4,1,10,"pass",7,"short",3,2,-1,0,1
"169","CHI","GB","GB","away","CHI",28,608,608,608,"Half2",4,2,3,"pass",3,"short",3,2,-1,0,1
"170","CHI","GB","GB","away","CHI",25,563,563,563,"Half2",4,1,10,"run",18,NA,3,2,-1,1,0
"171","CHI","GB","GB","away","CHI",7,511,511,511,"Half2",4,1,7,"run",1,NA,3,2,-1,1,0
"172","CHI","GB","GB","away","CHI",3,464,464,464,"Half2",4,1,3,"run",0,NA,3,2,-1,1,0
"173","CHI","GB","GB","away","CHI",3,423,423,423,"Half2",4,2,3,"pass",0,"short",3,2,-1,0,1
"174","CHI","GB","GB","away","CHI",3,419,419,419,"Half2",4,3,3,"run",3,NA,3,1,5,1,0
"175","CHI","GB","GB","away","CHI",74,232,232,232,"Half2",4,1,10,"pass",5,"short",3,1,3,0,1
"176","CHI","GB","GB","away","CHI",69,195,195,195,"Half2",4,2,5,"run",17,NA,3,1,3,1,0
"177","CHI","GB","GB","away","CHI",62,147,147,147,"Half2",4,2,20,"pass",8,"short",2,1,3,0,1
"178","GB","DET","GB","home","DET",50,890,1790,3590,"Half1",1,1,5,"run",4,NA,3,3,0,1,0
"179","GB","DET","GB","home","DET",46,853,1753,3553,"Half1",1,2,1,"run",11,NA,3,3,0,1,0
"180","GB","DET","GB","home","DET",35,809,1709,3509,"Half1",1,1,10,"run",6,NA,3,3,0,1,0
"181","GB","DET","GB","home","DET",29,766,1666,3466,"Half1",1,2,4,"pass",29,"deep",3,3,6,0,1
"182","GB","DET","GB","home","DET",78,419,1319,3119,"Half1",1,1,10,"pass",11,"short",3,3,7,0,1
"183","GB","DET","GB","home","DET",67,345,1245,3045,"Half1",1,1,10,"pass",8,"short",2,3,7,0,1
"184","GB","DET","GB","home","DET",59,301,1201,3001,"Half1",1,2,2,"run",0,NA,2,3,7,1,0
"185","GB","DET","GB","home","DET",59,255,1155,2955,"Half1",1,3,2,"run",1,NA,2,3,7,1,0
"186","GB","DET","GB","home","DET",72,849,849,2649,"Half1",2,1,10,"run",5,NA,2,3,0,1,0
"187","GB","DET","GB","home","DET",67,809,809,2609,"Half1",2,2,5,"run",4,NA,2,3,0,1,0
"188","GB","DET","GB","home","DET",63,778,778,2578,"Half1",2,3,1,"pass",0,"deep",2,3,0,0,1
"189","GB","DET","GB","home","DET",7,694,694,2494,"Half1",2,1,7,"pass",-7,NA,2,3,0,0,1
"190","GB","DET","GB","home","DET",14,655,655,2455,"Half1",2,2,14,"pass",1,"short",2,3,0,0,1
"191","GB","DET","GB","home","DET",13,609,609,2409,"Half1",2,3,13,"pass",13,"short",2,3,6,0,1
"192","GB","DET","GB","home","DET",68,500,500,2300,"Half1",2,1,10,"pass",4,"short",2,3,7,0,1
"193","GB","DET","GB","home","DET",64,460,460,2260,"Half1",2,2,6,"run",-1,NA,2,3,7,1,0
"194","GB","DET","GB","home","DET",65,423,423,2223,"Half1",2,3,7,"pass",48,"deep",2,3,7,0,1
"195","GB","DET","GB","home","DET",17,412,412,2212,"Half1",2,1,10,"pass",17,"deep",2,3,13,0,1
"196","GB","DET","GB","home","DET",72,559,1459,1459,"Half2",3,1,10,"run",14,NA,3,2,10,1,0
"197","GB","DET","GB","home","DET",53,514,1414,1414,"Half2",3,1,5,"pass",8,"short",3,2,10,0,1
"198","GB","DET","GB","home","DET",45,441,1341,1341,"Half2",3,1,10,"pass",15,"short",3,2,10,0,1
"199","GB","DET","GB","home","DET",25,417,1317,1317,"Half2",3,1,5,"pass",0,"deep",3,2,10,0,1
"200","GB","DET","GB","home","DET",25,410,1310,1310,"Half2",3,2,5,"run",2,NA,3,2,10,1,0
"201","GB","DET","GB","home","DET",23,370,1270,1270,"Half2",3,3,3,"pass",0,"deep",3,2,10,0,1
"202","GB","DET","GB","home","DET",73,97,997,997,"Half2",3,1,10,"run",0,NA,3,2,7,1,0
"203","GB","DET","GB","home","DET",73,57,957,957,"Half2",3,2,10,"pass",0,"short",3,2,7,0,1
"204","GB","DET","GB","home","DET",73,52,952,952,"Half2",3,3,10,"pass",-5,NA,3,2,7,0,1
"205","GB","DET","GB","home","DET",78,704,704,704,"Half2",4,1,10,"pass",0,"deep",3,2,1,0,1
"206","GB","DET","GB","home","DET",87,392,392,392,"Half2",4,1,10,"run",7,NA,3,2,1,1,0
"207","GB","DET","GB","home","DET",80,353,353,353,"Half2",4,2,3,"run",5,NA,3,2,1,1,0
"208","GB","DET","GB","home","DET",75,309,309,309,"Half2",4,1,10,"pass",12,"short",3,2,1,0,1
"209","GB","DET","GB","home","DET",63,274,274,274,"Half2",4,1,10,"run",-3,NA,3,2,1,1,0
"210","GB","DET","GB","home","DET",66,231,231,231,"Half2",4,2,13,"run",16,NA,3,2,1,1,0
"211","GB","DET","GB","home","DET",50,182,182,182,"Half2",4,1,10,"run",6,NA,3,2,1,1,0
"212","GB","DET","GB","home","DET",44,139,139,139,"Half2",4,2,4,"run",5,NA,3,2,1,1,0
"213","GB","DET","GB","home","DET",39,120,120,120,"Half2",4,1,10,"pass",15,"short",3,2,1,0,1
"214","GB","DET","GB","home","DET",24,112,112,112,"Half2",4,1,10,"run",2,NA,3,1,1,1,0
"215","GB","DET","GB","home","DET",22,67,67,67,"Half2",4,2,8,"run",1,NA,3,1,1,1,0
"216","GB","DET","GB","home","DET",21,55,55,55,"Half2",4,3,7,"run",8,NA,3,0,1,1,0
"217","WAS","GB","GB","away","WAS",92,894,1794,3594,"Half1",1,1,10,"pass",8,"short",3,3,0,0,1
"218","WAS","GB","GB","away","WAS",84,858,1758,3558,"Half1",1,2,2,"pass",17,"short",3,3,0,0,1
"219","WAS","GB","GB","away","WAS",90,737,1637,3437,"Half1",1,1,10,"run",71,NA,3,3,0,1,0
"220","WAS","GB","GB","away","WAS",19,705,1605,3405,"Half1",1,1,10,"pass",9,"short",3,3,0,0,1
"221","WAS","GB","GB","away","WAS",10,667,1567,3367,"Half1",1,2,1,"run",5,NA,3,3,0,1,0
"222","WAS","GB","GB","away","WAS",5,627,1527,3327,"Half1",1,1,5,"pass",4,"short",3,3,0,0,1
"223","WAS","GB","GB","away","WAS",1,585,1485,3285,"Half1",1,2,1,"run",-4,NA,3,3,0,1,0
"224","WAS","GB","GB","away","WAS",5,544,1444,3244,"Half1",1,3,5,"pass",5,"short",3,3,6,0,1
"225","WAS","GB","GB","away","WAS",87,387,1287,3087,"Half1",1,1,10,"pass",13,"short",3,3,7,0,1
"226","WAS","GB","GB","away","WAS",74,353,1253,3053,"Half1",1,1,10,"pass",10,"short",3,3,7,0,1
"227","WAS","GB","GB","away","WAS",64,312,1212,3012,"Half1",1,1,10,"pass",0,"short",3,3,7,0,1
"228","WAS","GB","GB","away","WAS",64,307,1207,3007,"Half1",1,2,10,"pass",0,"short",3,3,7,0,1
"229","WAS","GB","GB","away","WAS",64,300,1200,3000,"Half1",1,3,10,"pass",0,"short",3,3,7,0,1
"230","WAS","GB","GB","away","WAS",86,173,1073,2873,"Half1",1,1,10,"run",7,NA,3,3,7,1,0
"231","WAS","GB","GB","away","WAS",79,133,1033,2833,"Half1",1,2,3,"pass",9,"short",3,3,7,0,1
"232","WAS","GB","GB","away","WAS",70,99,999,2799,"Half1",1,1,10,"pass",14,"short",3,3,7,0,1
"233","WAS","GB","GB","away","WAS",61,36,936,2736,"Half1",1,1,15,"pass",35,"deep",3,3,7,0,1
"234","WAS","GB","GB","away","WAS",26,5,905,2705,"Half1",1,1,10,"pass",6,"short",3,3,7,0,1
"235","WAS","GB","GB","away","WAS",20,900,900,2700,"Half1",2,2,4,"pass",11,"short",3,3,7,0,1
"236","WAS","GB","GB","away","WAS",9,857,857,2657,"Half1",2,1,9,"pass",8,"short",3,3,7,0,1
"237","WAS","GB","GB","away","WAS",1,820,820,2620,"Half1",2,2,1,"run",0,NA,3,3,7,1,0
"238","WAS","GB","GB","away","WAS",1,780,780,2580,"Half1",2,3,1,"run",0,NA,3,3,7,1,0
"239","WAS","GB","GB","away","WAS",1,736,736,2536,"Half1",2,4,1,"pass",0,"short",2,3,7,0,1
